"-- Please Select --","-- Por Favor Seleccione --"
"Columns","Columnas"
"Enable/Disable Product Search, if enabled, ajax search will return products matching the search term.","Habilitar/Deshabilitar la búsqueda de productos. Si está habilitada, la búsqueda Ajax devolverá productos que coincidan con el término de búsqueda."
"Minimum number of characters to search","Número mínimo de caracteres para la búsqueda"
"Set the minimum number of characters which customers should enter to trigger autocomplete. Example: 3","Establezca el número mínimo de caracteres que los clientes deben ingresar para activar la autocompletación. Ejemplo: 3"
"Maximum number of items displayed","Número máximo de elementos mostrados"
"Show Product Image","Mostrar imagen del producto"
"Show/Hide the product image in the dropdown results list.","Mostrar/Ocultar la imagen del producto en la lista de resultados desplegable."
"Width of the product image","Ancho de la imagen del producto"
"Set the width for the products images in the dropdown results list [pixels]. Example: 80","Establezca el ancho de las imágenes de los productos en la lista de resultados desplegable [píxeles]. Ejemplo: 80"
"Show Product Description","Mostrar descripción del producto"
"Show/Hide product description in the dropdown results list.","Mostrar/Ocultar la descripción del producto en la lista de resultados desplegable."
"Maximum number of words for the description","Número máximo de palabras para la descripción"
"Set te maximum number of words displayed for product description in the dropdown results list. Example: 10","Establezca el número máximo de palabras mostradas para la descripción del producto en la lista de resultados desplegable. Ejemplo: 10"
"Show product price","Mostrar precio del producto"
"Show/Hide product price in the dropdown results list, if a promotion is enabled, the discounted price will show here. Once the promotion is over, the normal price will show.","Mostrar/Ocultar el precio del producto en la lista de resultados desplegable. Si hay una promoción activa, se mostrará el precio con descuento. Una vez finalizada la promoción, se mostrará el precio normal."
"Custom text when no results","Texto personalizado cuando no hay resultados"
"Set your custom text to be displayed if there is no search results. Example: Sorry, no results were found.","Establezca su texto personalizado a mostrar si no hay resultados de búsqueda. Ejemplo: Lo siento, no se encontraron resultados."
"Head custom CSS/HTML","CSS/HTML personalizado del encabezado"
"Insert custom header text to be displayed in the dropdown results list. You can also insert CSS/HTML for design adjustments of product search header section.","Inserte texto personalizado del encabezado que se mostrará en la lista de resultados desplegable. También puede insertar CSS/HTML para ajustes de diseño en la sección del encabezado de la búsqueda de productos."
"Footer custom CSS/HTML","CSS/HTML personalizado del pie de página"
"Insert custom footer text to be displayed in the dropdown results list. You can also insert CSS/HTML for design adjustments of product search footer section. Note: Sample footer custom CSS uses image located under SearchAutoComplete/view/frontend/web/images/img-footer.svg, if needed you can use any other images from your server.","Inserte texto personalizado del pie de página que se mostrará en la lista de resultados desplegable. También puede insertar CSS/HTML para ajustes de diseño en la sección del pie de página de la búsqueda de productos. Nota: El CSS personalizado del pie de página de ejemplo utiliza una imagen ubicada en SearchAutoComplete/view/frontend/web/images/img-footer.svg, si es necesario, puede usar otras imágenes de su servidor."
"Popular Suggestions Settings","Configuración de sugerencias populares"
"Enable Popular Suggestions","Habilitar sugerencias populares"
"Maximum number of popular suggestions displayed","Número máximo de sugerencias populares mostradas"
"Category Search Settings","Configuración de búsqueda por categorías"
"Enable Category Search","Habilitar búsqueda por categorías"
"Enable/Disable Category Search, if enabled, ajax search will return categories matching the search term.","Habilitar/Deshabilitar la búsqueda por categorías. Si está habilitada, la búsqueda Ajax devolverá categorías que coincidan con el término de búsqueda."
"Maximum number of categories displayed","Número máximo de categorías mostradas"
"Set the maximum number of categories displayed in the 'Categories' list. Example: 3; If not set, all the results will be displayed.","Establezca el número máximo de categorías mostradas en la lista ""Categorías"". Ejemplo: 3; Si no se establece, se mostrarán todos los resultados."
"Frontend Settings","Configuración del frontend"
"Width of results container","Ancho del contenedor de resultados"
"Set the width of the results container [pixels]. Example: 250","Establezca el ancho del contenedor de resultados [píxeles]. Ejemplo: 250"
"Display Results (Desktop-only)","Mostrar resultados (solo en escritorio)"
"Vertically","Verticalmente"
"Horizontally (available only on Search Version 2)","Horizontalmente (disponible solo en la versión 2 de búsqueda)"
"Select how the results are displayed. See tooltip for more details. (This setting applies to the desktop view only.) ","Seleccione cómo se muestran los resultados. Vea la información sobre herramientas para más detalles. (Esta configuración solo se aplica a la vista de escritorio.)"
"Show Product Divider","Mostrar divisor de productos"
"Show/Hide Product Divider.","Mostrar/Ocultar el divisor de productos."
"Divider Color","Color del divisor"
"Set color for divider used to separate ajax product results in search container, example #CCCCCC","Establezca el color del divisor usado para separar los resultados Ajax de productos en el contenedor de búsqueda, ejemplo: #CCCCCC"
"Search container background color","Color de fondo del contenedor de búsqueda"
"Set color for search container, example #FFFFFF","Establezca el color del contenedor de búsqueda, ejemplo: #FFFFFF"
"Container Text Color","Color del texto del contenedor"
"Set color for product results text in search container, Example #000000","Establezca el color del texto de los resultados de productos en el contenedor de búsqueda, ejemplo: #000000"
"Title Background Color","Color de fondo del título"
"Set background color for search container titles like Product Results, Popular Suggestions, Example: #F0EFF0","Establezca el color de fondo para los títulos del contenedor de búsqueda, como ""Resultados de productos"", ""Sugerencias populares"". Ejemplo: #F0EFF0"
"Title Color","Color del título"
"Set text color for search container titles like Product Results, Popular Suggestions, Example: #000000","Establezca el color del texto para los títulos del contenedor de búsqueda, como ""Resultados de productos"", ""Sugerencias populares"". Ejemplo: #000000"
"Change Frequency","Frecuencia de cambio"
"Sitemap General Settings","Configuración general del sitemap"
"Use Canonical URL in Sitemap for All Products","Usar URL canónica en el sitemap para todos los productos"
"Choose Yes if you'd like the Sitemap to use the Canonical URL for all Products that have it set at the product-level. This will override the product-level Use Canonical URL in Sitemap setting.","Elija Sí si desea que el sitemap use la URL canónica para todos los productos que la tengan configurada a nivel de producto. Esto anulará la configuración de ""Usar URL canónica en el sitemap"" a nivel de producto."
"Use Canonical URL in Sitemap for All Categories","Usar URL canónica en el sitemap para todas las categorías"
"Choose Yes if you'd like the Sitemap to use the Canonical URL for all Categories that have it set at the category-level. This will override the category-level Use Canonical URL in Sitemap setting.","Elija Sí si desea que el sitemap use la URL canónica para todas las categorías que la tengan configurada a nivel de categoría. Esto anulará la configuración de ""Usar URL canónica en el sitemap"" a nivel de categoría."
"Use Canonical URL in Sitemap for all CMS Pages","Usar URL canónica en el sitemap para todas las páginas CMS"
"Choose Yes if you'd like the Sitemap to use the Canonical URL for all CMS Pages that have it set at the CMS Page-level. This will override the CMS Page-level Use Canonical URL in Sitemap setting.","Elija Sí si desea que el sitemap use la URL canónica para todas las páginas CMS que la tengan configurada a nivel de página CMS. Esto anulará la configuración de ""Usar URL canónica en el sitemap"" a nivel de página CMS."
"Banner ID","ID del banner"
"Slider ID","ID del slider"
"Desktop Image","Imagen de escritorio"
"Mobile Image","Imagen móvil"
"Thumb Image","Imagen en miniatura"
"General Slider Settings","Configuración general del slider"
"Enable Google Analytics Tracking","Habilitar el seguimiento de Google Analytics"
"General Carousel Settings","Configuración general del carrusel"
"Enable Hover Image on products","Habilitar imagen de hover en productos"
"Enable Hover Image for products in carousel. Select the hover image per product. Go to Product -> Edit the product-> Images -> Listing Hover Image","Habilite la imagen de hover para los productos en el carrusel. Seleccione la imagen de hover por producto. Vaya a Producto -> Edite el producto -> Imágenes -> Imagen de hover en listado"
"Mobile Breakpoint","Punto de ruptura móvil"
"Specify a valid number ( Ex: 778 ). At this breakpoint the mobile / desktop banner images will be switched.","Especifique un número válido (Ej: 778). En este punto de ruptura, las imágenes de banner móvil/escritorio se intercambiarán."
"Use Default Loading Image","Usar imagen de carga predeterminada"
"Use default loading image before sliders are rendered","Usar la imagen de carga predeterminada antes de que se rendericen los sliders"
"General Success Page Settings","Configuración general de la página de éxito"
"Success Message","Mensaje de éxito"
"Subtitle","Subtítulo"
"Use %1 as placeholder for order increment id.","Use %1 como marcador de posición para el ID de incremento del pedido."
"Show 'Continue Shopping'","Mostrar ""Continuar comprando"""
"Show 'Print Order' button","Mostrar botón ""Imprimir pedido"""
"Button is visible only to the logged-in customers. For security reasons, the Print Order button is not available to guest customers.","El botón es visible solo para clientes registrados. Por razones de seguridad, el botón ""Imprimir pedido"" no está disponible para clientes invitados."
"Show Shipping Address on Google Map","Mostrar dirección de envío en Google Maps"
"Order Details","Detalles del pedido"
"Show Customer Info","Mostrar información del cliente"
"Show Product(s) Grid","Mostrar cuadrícula de producto(s)"
"Create Account","Crear cuenta"
"Default Magento functionality. (Only for guest checkout)","Funcionalidad predeterminada de Magento. (Solo para el pago de invitados)"
"Newsletter Subscribe","Suscribirse al boletín"
"When enabled, if user not subscribed to newsletter, show option to subscribe to newsletter.","Cuando está habilitado, si el usuario no está suscrito al boletín, mostrar opción para suscribirse al boletín."
"Custom CMS Block","Bloque CMS personalizado"
"Breakpoint 1","Punto de ruptura 1"
"Add breakpoint. Ex.: 320. Applied to resolutions higher than set value. ","Agregar punto de ruptura. Ej.: 320. Aplicado a resoluciones superiores al valor establecido."
"Breakpoint 2","Punto de ruptura 2"
"Add breakpoint. Ex.: 768. Applied to resolutions higher than set value.","Agregar punto de ruptura. Ej.: 768. Aplicado a resoluciones superiores al valor establecido."
"Breakpoint 3","Punto de ruptura 3"
"Add breakpoint. Ex.: 1024. Applied to resolutions higher than set value.","Agregar punto de ruptura. Ej.: 1024. Aplicado a resoluciones superiores al valor establecido."
"Breakpoint 4","Punto de ruptura 4"
"Add breakpoint. Ex.: 1280. Applied to resolutions higher than set value.","Agregar punto de ruptura. Ej.: 1280. Aplicado a resoluciones superiores al valor establecido."
"Display wishlist","Mostrar lista de deseos"
"Display compare","Mostrar comparación"
"New Products Carousel Settings","Configuración del carrusel de nuevos productos"
"Enable New Product Carousel","Habilitar carrusel de nuevos productos"
"In order for carousel to be displayed, make sure you have products defined as "New" and the carousel is inserted in your page/block. Insert the carousel by following the documentation.","Para que el carrusel se muestre, asegúrese de tener productos definidos como ""Nuevos"" y que el carrusel esté insertado en su página/bloque. Inserte el carrusel siguiendo la documentación."
"Insert custom title to be displayed on the carousel. For no title leave field empty.","Inserte un título personalizado para mostrar en el carrusel. Deje el campo vacío si no desea un título."
"Show Price","Mostrar precio"
"Show/Hide the product price for products in the carousel","Mostrar/Ocultar el precio del producto para productos en el carrusel"
"Show Add To Cart","Mostrar ""Añadir al carrito"""
"Show/Hide ‘Add to cart’ button for products in the carousel.","Mostrar/Ocultar botón ""Añadir al carrito"" para productos en el carrusel."
"Show Wishlist","Mostrar lista de deseos"
"Show/Hide wishlist icon for products in the carousel.","Mostrar/Ocultar icono de lista de deseos para productos en el carrusel."
"Show Compare","Mostrar comparación"
"Show/Hide Compare icon for products in the carousel","Mostrar/Ocultar icono de comparación para productos en el carrusel"
"Show Reviews and Ratings","Mostrar opiniones y valoraciones"
"Show/Hide Reviews and Ratings for products in the carousel","Mostrar/Ocultar opiniones y valoraciones para productos en el carrusel"
"Random","Aleatorio"
"Product ID Ascending","ID del producto ascendente"
"Product ID Descending","ID del producto descendente"
"Price Ascending ","Precio ascendente"
"Price Descending ","Precio descendente"
"Alphabetically Ascending ","Alfabéticamente ascendente"
"Alphabetically Descending ","Alfabéticamente descendente"
"Sort Order of the products in the carousel.","Orden de clasificación de los productos en el carrusel."
"Max Items","Máximo de productos"
"The total number of products to be loaded in the carousel.","Número total de productos a cargar en el carrusel."
"Slide By","Deslizar por"
"General Carousel Options","Opciones generales del carrusel"
"Loop","Bucle"
"Inifnity loop. Duplicate last and first items to get loop illusion.","Bucle infinito. Duplica los primeros y últimos elementos para crear la ilusión de bucle."
"Margin","Margen"
"Set right margin for each item in carousel. Example: for a margin of 30px enter 30 in the field.","Establezca el margen derecho para cada elemento en el carrusel. Ejemplo: para un margen de 30px ingrese 30 en el campo."
"LazyLoad","Carga diferida"
"Lazy Load delays loading of images. Images outside of viewport are not loaded until user scrolls to them.","La carga diferida retrasa la carga de imágenes. Las imágenes fuera del área visible no se cargan hasta que el usuario se desplace hacia ellas."
"Autoplay the carousel.","Reproducción automática del carrusel."
"AutoplayTimeout","Tiempo de espera de reproducción automática"
"Autoplay interval timeout. Set time between changing products (in milliseconds, for Example: 4000, for 4 seconds))","Tiempo de espera del intervalo de reproducción automática. Establezca el tiempo entre cambios de productos (en milisegundos, por ejemplo: 4000, para 4 segundos)"
"AutoplayHoverPause","Pausa en hover durante la reproducción automática"
"Set the autoplay to pause on mouse hover.","Configure la reproducción automática para que se pause al pasar el mouse."
"Next/Prev button Transition Speed","Velocidad de transición de los botones Anterior/Siguiente"
"Set the speed for the transition animation when clicking the Next/Prev buttons. Insert value in ms. Write “4000” for a 4 second timeout.","Establezca la velocidad de la animación de transición al hacer clic en los botones Anterior/Siguiente. Inserte el valor en ms. Escriba ""4000"" para un tiempo de espera de 4 segundos."
"Dots Transition Speed","Velocidad de transición de los puntos"
"Set the speed for the transition animation when clicking the Dots. Insert value in ms. Write “4000” for a 4 second timeout.","Establezca la velocidad de la animación de transición al hacer clic en los puntos. Inserte el valor en ms. Escriba ""4000"" para un tiempo de espera de 4 segundos."
"Direction Right To Left","Dirección de derecha a izquierda"
"If True, each banner will slide from right to left.","Si está habilitado, cada banner se deslizará de derecha a izquierda."
"Prev/Next buttons design","Diseño de los botones Anterior/Siguiente"
"Design 1  - Carousel sides","Diseño 1 - Lados del carrusel"
"Design 2 - Under carousel","Diseño 2 - Debajo del carrusel"
"Breakpoint Carousel Options","Opciones de carrusel para punto de ruptura"
"This configuration will overwrite the General Carousel Options.","Esta configuración sobrescribirá las Opciones Generales del Carrusel."
"Next/Prev Buttons","Botones Anterior/Siguiente"
"If True, next/prev buttons are displayed.","Si está habilitado, se mostrarán los botones Anterior/Siguiente."
"If True, dots are displayed under carousel.","Si está habilitado, los puntos se mostrarán debajo del carrusel."
"Show Dots for each Item","Mostrar puntos para cada elemento"
"If True, Show dots for each item.","Si está habilitado, mostrar puntos para cada elemento."
"The number of items you want to see on the screen. This value should be smaller than Max Items.","Número de elementos que desea ver en pantalla. Este valor debe ser menor que ""Máximo de productos""."
"If True, carousel is centered on the screen. Works well even with an odd number of items.","Si está habilitado, el carrusel se centrará en la pantalla. Funciona bien incluso con un número impar de elementos."
"StagePadding","Relleno del escenario"
"Padding left and right on stage (can see neighbours).","Relleno a la izquierda y derecha en el escenario (se pueden ver los elementos vecinos)."
"The number of items you want to see on the screen. This value should be smaller than Max Items. ","El número de elementos que desea ver en pantalla. Este valor debe ser menor que ""Máximo de productos""."
"Best Sell Products Carousel Settings","Configuración del carrusel de ""Productos más vendidos"""
"Enable Best Sell Products Carousel","Habilitar carrusel de ""Productos más vendidos"""
"In order for carousel to be displayed make sure the carousel is inserted in your page/block
                         and there are a few orders placed. Insert the carousel by following the documentation.
                     ","Para que el carrusel se muestre, asegúrese de que el carrusel esté insertado en su página/bloque y que se hayan realizado algunos pedidos. Inserte el carrusel siguiendo la documentación."
"Select the period for Best Sell products. Be sure to refresh lifetime statistics of Reports > Statistics > Refresh Statistics > Bestsellers whenever you change this setting.","Seleccione el período para los ""Productos más vendidos"". Asegúrese de actualizar las estadísticas de por vida en Informes > Estadísticas > Actualizar estadísticas > Más vendidos cada vez que cambie esta configuración."
"Sale Products Carousel Settings","Configuración del carrusel de ""Productos en oferta"""
"Enable Sale Products Carousel","Habilitar carrusel de ""Productos en oferta"""
"In order for carousel to be displayed, make sure you have products defined as "Sale" and the carousel is inserted in your page/block. Insert the carousel by
                         following the documentation.
                     ","Para que el carrusel se muestre, asegúrese de tener productos definidos como ""En oferta"" y de que el carrusel esté insertado en su página/bloque. Inserte el carrusel siguiendo la documentación."
"Recently Viewed Products Carousel Settings","Configuración del carrusel de ""Productos vistos recientemente"""
"Enable Recently Viewed Products Carousel","Habilitar carrusel de ""Productos vistos recientemente"""
"In order for carousel to be displayed, users must be logged in and visited at least
                         one product, and the carousel is inserted in your page/block. Insert the carousel by following
                         the documentation.
                     ","Para que el carrusel se muestre, los usuarios deben haber iniciado sesión y haber visitado al menos un producto, y el carrusel debe estar insertado en su página/bloque. Inserte el carrusel siguiendo la documentación."
"Related Products Carousel Settings","Configuración del carrusel de ""Productos relacionados"""
"Enable Related Products Carousel","Habilitar carrusel de ""Productos relacionados"""
"If Enabled, the products will be displayed on product page in a carousel instead of
                         default product grid. Make sure you have defined Related Products in your catalog.
                     ","Si está habilitado, los productos se mostrarán en la página del producto en un carrusel en lugar de la cuadrícula de productos predeterminada. Asegúrese de haber definido productos relacionados en su catálogo."
"Up-Sells Products Carousel Settings","Configuración del carrusel de ""Productos de venta adicional"""
"Enable Up-Sells Products Carousel","Habilitar carrusel de ""Productos de venta adicional"""
"If Enabled, the products will be displayed on product page in a carousel instead of
                         default product grid. Make sure you have defined Up-Sells Products in your catalog.
                     ","Si está habilitado, los productos se mostrarán en la página del producto en un carrusel en lugar de la cuadrícula de productos predeterminada. Asegúrese de haber definido ""Productos de venta adicional"" en su catálogo."
"Cross-Sell Products Carousel Settings","Configuración del carrusel de ""Productos de venta cruzada"""
"Enable Cross-Sell Products Carousel","Habilitar carrusel de ""Productos de venta cruzada"""
"If Enabled, the products will be displayed on product page in a carousel instead of default product grid. Make sure you have defined Cross-Sells Products in your catalog.","Si está habilitado, los productos se mostrarán en la página del producto en un carrusel en lugar de la cuadrícula de productos predeterminada. Asegúrese de haber definido ""Productos de venta cruzada"" en su catálogo."
"Custom Category Products Carousel Settings","Configuración del carrusel de ""Productos de categoría personalizada"""
"Enable Custom Category Products Carousel","Habilitar carrusel de ""Productos de categoría personalizada"""
"Custom Category Carousel - carousel will be populated with products from specified category. ","Carrusel de categoría personalizada: el carrusel se llenará con productos de la categoría especificada."
"Conditions Based Products Carousel Settings","Configuración del carrusel de ""Productos basados en condiciones"""
"Enable Condition Based Products Carousel","Habilitar carrusel de ""Productos basados en condiciones"""
"Condition Based Products Carousel - carousel will be populated with products from specified conditions. ","Carrusel de productos basados en condiciones: el carrusel se llenará con productos según las condiciones especificadas."
"Product Reviews Carousel Settings","Configuración del carrusel de ""Reseñas de productos"""
"Random Sort","Orden aleatorio"
"If enabled, the reviews in the carousel are displayed in random order on each refresh.","Si está habilitado, las reseñas en el carrusel se mostrarán en orden aleatorio en cada actualización."
"The total number of reviews to be loaded in the carousel.","El número total de reseñas que se cargarán en el carrusel."
"Max characters in the review title","Máximo de caracteres en el título de la reseña"
"The total number of characters to be displayed in the carousel for the review title (Leave empty or 0 to display the full title).","El número total de caracteres que se mostrarán en el carrusel para el título de la reseña (Dejar vacío o en 0 para mostrar el título completo)."
"Max characters in the review content","Máximo de caracteres en el contenido de la reseña"
"The total number of characters to be displayed in the carousel for the review content (Leave empty or 0 to display the full content).","El número total de caracteres que se mostrarán en el carrusel para el contenido de la reseña (Dejar vacío o en 0 para mostrar el contenido completo)."
"Auto Height","Altura automática"
"Enable Recently Viewed Bar","Habilitar barra de ""Productos vistos recientemente"""
"Enable/Disable WeltPixel Recently Viewed Bar extension.","Habilitar/Deshabilitar la extensión de barra de ""Productos vistos recientemente"" de WeltPixel."
"Enable Social Login Integration","Habilitar integración de ""Inicio de sesión social"""
"If enabled, Social Login block will replace the CMS Block for not logged in users. The content of CMS Block will be visible after the user has logged in.","Si está habilitado, el bloque de ""Inicio de sesión social"" reemplazará al bloque CMS para los usuarios que no hayan iniciado sesión. El contenido del bloque CMS será visible después de que el usuario haya iniciado sesión."
"User Profile General Settings","Configuración general del perfil de usuario"
"Enable User Profile","Habilitar perfil de usuario"
"Product Image","Imagen del producto"
"Product Text","Texto del producto"
"Category Position","Posición de la categoría"
"Product Position","Posición del producto"
"Category Text","Texto de la categoría"
"Add Product Labels","Agregar etiquetas de producto"
"ProductLabels Settings","Configuración de ""Etiquetas de producto"""
"Enable/Disable Product Labels on Category pages.","Habilitar/Deshabilitar ""Etiquetas de producto"" en las páginas de categoría."
"Always","Siempre"
"On hover","Al pasar el cursor"
"Enable on product page","Habilitar en la página del producto"
"Enable/Disable Product Labels on Product pages.","Habilitar/Deshabilitar ""Etiquetas de producto"" en las páginas de producto."
"Enable for product widgets","Habilitar para widgets de producto"
"Enable for related products","Habilitar para productos relacionados"
"Enable for upsell products","Habilitar para productos de venta adicional"
"Enable for cross-sell products","Habilitar para productos de venta cruzada"
"Advanced Wishlist General Settings","Configuración avanzada de ""Lista de deseos"""
"Enable Multiple Wishlist","Habilitar múltiples ""Listas de deseos"""
"Enable/Disable Multiple Wishlist.","Habilitar/Deshabilitar múltiples ""Listas de deseos""."
"Enable Ajax Wishlist","Habilitar ""Lista de deseos"" con Ajax"
"Enable/Disable Ajax Wishlist.","Habilitar/Deshabilitar ""Lista de deseos"" con Ajax."
"Keep Item In Wishlist After Adding To cart","Mantener el artículo en la ""Lista de deseos"" después de agregarlo al carrito"
"Disable Default Share Wishlist Button","Deshabilitar el botón predeterminado de ""Compartir lista de deseos"""
"Enable/Disable Default Share Wishlist Button.","Habilitar/Deshabilitar el botón predeterminado de ""Compartir lista de deseos""."
"Enable Share Wishlist","Habilitar ""Compartir lista de deseos"""
"Enable/Disable Share Wishlist.","Habilitar/Deshabilitar ""Compartir lista de deseos""."
"Enable Price Alert","Habilitar alerta de precio"
"Enable/Disable Price Alert For Wishlist Items.","Habilitar/Deshabilitar alerta de precio para artículos en la ""Lista de deseos""."
"<p>In order to configure your email templates there are a few steps to be completed, described in
                         detail in <a
                                 href="https://www.weltpixel.com/magento-2-email-template-editor-with-gmail-markup-support.html"
                                 target="_blank">product documentation</a>. Here is a short summary of the steps:
                     </p>
                     <ul style="margin-left: 40px; list-style-type: none">
                         <li>Step 1:  Set your store email addresses</li>
                         <li>Step 2:  Set your store information</li>
                         <li>Step 3:  Enable Enhanced Email Extension and start configuring</li>
                         <li>Step 4:  Setup each email template</li>
                         <li>Step 5:  Assign your templates for each email</li>
                         <li>Step 6:  Submit to Gmail, for Mark-ups (optional)</li>
                     </ul>","<p>Para configurar tus plantillas de correo electrónico, hay algunos pasos que deben completarse, descritos en
                         detalle en la <a
                                 href="https://www.weltpixel.com/magento-2-email-template-editor-with-gmail-markup-support.html"
                                 target="_blank">documentación del producto</a>. Aquí tienes un resumen rápido de los pasos:
                     </p>
                     <ul style="margin-left: 40px; list-style-type: none">
                         <li>Paso 1:  Establece las direcciones de correo electrónico de tu tienda</li>
                         <li>Paso 2:  Establece la información de tu tienda</li>
                         <li>Paso 3:  Habilita la extensión ""Enhanced Email"" y comienza a configurarla</li>
                         <li>Paso 4:  Configura cada plantilla de correo electrónico</li>
                         <li>Paso 5:  Asigna tus plantillas para cada correo electrónico</li>
                         <li>Paso 6:  Enviar a Gmail, para Mark-ups (opcional)</li>
                     </ul>"
"Enable Extension","Habilitar extensión"
"Enable/Disable Email Template Editor.","Habilitar/Deshabilitar el editor de plantillas de correo electrónico."
"Show Product Image In Template","Mostrar imagen del producto en la plantilla"
"Show product image in sales order/invoice/creditmemo emails.","Mostrar imagen del producto en los correos electrónicos de pedido/ factura/ nota de crédito."
"Logo Light","Logotipo claro"
"Upload Logo Light","Cargar logotipo claro"
" Bild löschen","Eliminar imagen"
"Logo Light Link","Enlace del logotipo claro"
"Logo Light Alt","Texto alternativo del logotipo claro"
"Logo Light Width","Ancho del logotipo claro"
"Logo Light Height","Altura del logotipo claro"
"Logo Dark","Logotipo oscuro"
"Upload Logo Dark","Cargar logotipo oscuro"
"Logo Dark Link","Enlace del logotipo oscuro"
"Logo Dark Alt","Texto alternativo del logotipo oscuro"
"Logo Dark Width","Ancho del logotipo oscuro"
"Logo Dark Height","Altura del logotipo oscuro"
"Email Header Options","Opciones del encabezado del correo electrónico"
"Email Header Background Color","Color de fondo del encabezado del correo electrónico"
"Email Footer Options","Opciones del pie de página del correo electrónico"
"Email Footer Background Color","Color de fondo del pie de página del correo electrónico"
"Email Top Menu","Menú superior del correo electrónico"
"Email Top Menu Font Color","Color de fuente del menú superior del correo electrónico"
"Email Top Menu Background Color","Color de fondo del menú superior del correo electrónico"
"Email Top Menu Padding Top/Bottom","Espaciado superior/inferior del menú superior del correo electrónico"
"Email Top Menu Items Padding","Espaciado de los elementos del menú superior del correo electrónico"
"Email Body Options","Opciones del cuerpo del correo electrónico"
"Email Wrapper Background Color","Color de fondo del contenedor del correo electrónico"
"Email Content Body Background Color","Color de fondo del cuerpo del contenido del correo electrónico"
"Email Body Text Color","Color del texto del cuerpo del correo electrónico"
"Email Body Link Color","Color del enlace del cuerpo del correo electrónico"
"Email Body Order Total Section Background Color","Color de fondo de la sección del total del pedido en el cuerpo del correo electrónico"
"Text Color","Color del texto"
"Use Google Fonts","Usar Google Fonts"
"Google Font Family","Familia de fuentes de Google"
"Google Font Character Set","Conjunto de caracteres de Google Font"
"Set Font Family (websafe)","Establecer familia de fuentes (segura para la web)"
"Set Fallback Font Family","Establecer familia de fuentes de respaldo"
"Font Weight","Peso de la fuente"
"Font Size","Tamaño de la fuente"
"Font Style","Estilo de la fuente"
"Line Height","Altura de la línea"
"Letter Spacing","Espaciado de letras"
"Paragraph","Párrafo"
"Buttons","Botones"
"Buttons Text Color","Color del texto de los botones"
"Buttons Background Color","Color de fondo de los botones"
"Buttons Border Color","Color del borde de los botones"
"Buttons Hover Text Color","Color del texto del botón al pasar el cursor"
"Buttons Hover Background Color","Color de fondo del botón al pasar el cursor"
"Buttons Hover Border Color","Color del borde del botón al pasar el cursor"
"Email Body Messages (eg. order/invoice comment)","Mensajes del cuerpo del correo electrónico (por ejemplo, comentario de pedido/factura)"
"Comment Section Text Color","Color del texto de la sección de comentarios"
"Comment Section Background Color","Color de fondo de la sección de comentarios"
"Products Grid","Cuadrícula de productos"
"Enable Products Grid","Habilitar cuadrícula de productos"
"Grid Title","Título de la cuadrícula"
"Products Type","Tipo de productos"
"Number of products","Número de productos"
"Leave 0 to list all products.","Deja 0 para listar todos los productos."
"Example: 150 (values in pixels)","Ejemplo: 150 (valores en píxeles)"
"Set the background color for Email Header. Example: #303030","Establecer el color de fondo para el encabezado del correo electrónico. Ejemplo: #303030"
"Set the font color for Email Top Menu. Example: #303030","Establecer el color de fuente para el menú superior del correo electrónico. Ejemplo: #303030"
"Set the background color for Email Top Menu. Example: #303030","Establecer el color de fondo para el menú superior del correo electrónico. Ejemplo: #303030"
"Set the padding (top/bottom) for Email Top menu. Example: 10px","Establecer el relleno (arriba/abajo) para el menú superior del correo electrónico. Ejemplo: 10px"
"Set the padding for Email Top Menu Items. Example: 10px","Establecer el relleno para los elementos del menú superior del correo electrónico. Ejemplo: 10px"
"Set the background color for Email Wrapper Body. Example: #303030","Establecer el color de fondo para el contenedor del cuerpo del correo electrónico. Ejemplo: #303030"
"Set the background color for Email Body. Example: #303030","Establecer el color de fondo para el cuerpo del correo electrónico. Ejemplo: #303030"
"Set the text color for Email Body. Example: #303030","Establecer el color del texto para el cuerpo del correo electrónico. Ejemplo: #303030"
"Set the link color for Email Body. Example: #303030","Establecer el color del enlace para el cuerpo del correo electrónico. Ejemplo: #303030"
"Set the background color for Email Body Order Total section. Example: #303030","Establecer el color de fondo para la sección de total del pedido en el cuerpo del correo electrónico. Ejemplo: #303030"
"Set the text color for H1 heading. Example: #303030","Establecer el color del texto para el encabezado H1. Ejemplo: #303030"
"Enable/Disable Google Fonts on H1 Heading.","Habilitar/Deshabilitar Google Fonts en el encabezado H1."
" Set Websafe Fonts on H1 Heading","Establecer fuentes web seguras en el encabezado H1"
"Set the font size for H1 heading.","Establecer el tamaño de fuente para el encabezado H1."
"Set line height for H1 heading.","Establecer la altura de línea para el encabezado H1."
"Set letter-spacing for H1 heading.","Establecer el espaciado entre letras para el encabezado H1."
"Enable/Disable Google Fonts on H2 Heading.","Habilitar/Deshabilitar Google Fonts en el encabezado H2."
"Set Websafe Fonts on H2 Heading","Establecer fuentes web seguras en el encabezado H2"
"Set the font size for H2 heading.","Establecer el tamaño de fuente para el encabezado H2."
"Set font style for H2 heading.","Establecer el estilo de fuente para el encabezado H2."
"Set letter-spacing for H2 heading.","Establecer el espaciado entre letras para el encabezado H2."
"Enable/Disable Google Fonts on H3 Heading.","Habilitar/Deshabilitar Google Fonts en el encabezado H3."
